,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
217,Nevada_2017,35,28,7,.800,10.49,2.03,,14,4,,13,1,,8,4,,2792,2496,,1405,933,2082,.448,320,837,.382,606,859,.705,386,1351,559,189,152,386,581
221,New Mexico State_2017,34,28,6,.824,4.66,-3.82,,11,3,,17,1,,8,4,,2678,2310,,1365,913,1957,.467,252,747,.337,600,843,.712,436,1339,505,166,128,465,627
223,New Orleans_2017,32,20,12,.625,-4.10,-5.34,,13,5,,11,3,,7,8,,2331,2215,,1300,830,1755,.473,139,438,.317,532,749,.710,386,1140,500,252,97,534,562
230,North Carolina Central_2017,34,25,9,.735,-3.18,-12.12,,13,3,,11,2,,11,6,,2542,2159,,1360,910,2005,.454,255,761,.335,467,684,.683,397,1313,480,209,112,406,587
233,North Carolina-Wilmington_2017,35,29,6,.829,8.06,-0.55,,15,3,,13,1,,11,3,,2967,2624,,1405,1071,2231,.480,336,917,.366,489,708,.691,422,1261,564,234,115,363,699
234,North Carolina_2017,40,33,7,.825,24.84,11.76,,14,4,,16,0,,6,5,,3377,2824,,1605,1226,2633,.466,283,798,.355,642,916,.701,630,1748,722,283,139,473,711
236,North Dakota_2017,32,22,10,.688,-1.83,-5.45,,14,4,,11,2,,7,6,,2578,2357,,1300,926,1919,.483,228,585,.390,498,698,.713,297,1146,487,251,93,419,672
246,Northern Kentucky_2017,35,24,11,.686,-0.17,-2.84,,12,6,,12,2,,8,7,,2659,2507,,1400,928,2037,.456,300,859,.349,503,740,.680,391,1319,486,200,98,468,622
248,Northwestern_2017,36,24,12,.667,14.02,8.43,,10,8,,14,4,,5,5,,2558,2357,,1440,913,2092,.436,255,745,.342,477,638,.748,386,1304,541,189,175,383,691
249,Notre Dame_2017,36,26,10,.722,17.81,9.78,,12,6,,16,2,,5,4,,2783,2494,,1445,980,2139,.458,334,869,.384,489,611,.800,334,1212,566,255,134,341,533
253,Oklahoma State_2017,33,20,13,.606,19.19,12.22,,9,9,,11,5,,7,5,,2828,2589,,1320,957,2050,.467,294,732,.402,620,786,.789,454,1215,486,252,99,432,730
258,Oregon_2017,39,33,6,.846,20.80,8.38,,16,2,,17,0,,7,3,,3076,2565,,1565,1091,2270,.481,334,880,.380,560,787,.712,412,1431,614,253,248,454,614
270,Princeton_2017,30,23,7,.767,6.57,-1.84,,14,0,,10,1,,10,4,,2149,1843,,1205,772,1716,.450,298,789,.378,307,416,.738,247,1003,426,200,93,298,482
271,Providence_2017,33,20,13,.606,11.24,7.84,,10,8,,15,3,,4,7,,2319,2207,,1325,804,1795,.448,239,645,.371,472,683,.691,294,1101,471,218,98,412,569
272,Purdue_2017,35,27,8,.771,20.13,8.79,,14,4,,15,2,,6,4,,2790,2393,,1415,980,2044,.479,315,782,.403,515,680,.757,344,1322,640,181,87,455,552
275,Rhode Island_2017,35,25,10,.714,12.88,4.62,,13,5,,13,3,,7,5,,2577,2288,,1405,916,2019,.454,217,653,.332,528,791,.668,409,1301,467,227,206,389,725
288,Saint Mary's (CA)_2017,34,29,5,.853,16.75,2.19,,16,2,,15,2,,10,1,,2449,1954,,1360,892,1797,.496,293,744,.394,372,499,.745,324,1205,563,143,110,365,512
299,Seton Hall_2017,33,21,12,.636,12.10,9.25,,10,8,,12,2,,4,6,,2417,2323,,1335,872,1949,.447,202,598,.338,471,733,.643,439,1311,405,228,82,449,613
304,South Carolina_2017,37,26,11,.703,17.52,10.16,,12,6,,15,3,,6,5,,2707,2414,,1505,924,2197,.421,248,733,.338,611,874,.699,464,1346,468,288,142,480,751
305,South Dakota State_2017,35,18,17,.514,-2.30,-0.66,,8,8,,11,3,,3,12,,2683,2697,,1415,881,1938,.455,318,883,.360,603,782,.771,316,1229,459,180,83,453,584
312,Southern California_2017,36,26,10,.722,11.48,6.40,,10,8,,14,3,,6,5,,2816,2633,,1445,975,2139,.456,283,782,.362,583,787,.741,387,1286,550,252,190,398,571
315,Southern Methodist_2017,35,30,5,.857,18.71,4.45,,17,1,,18,0,,8,3,,2599,2100,,1400,914,1934,.473,286,705,.406,485,696,.697,416,1335,566,200,117,377,506
341,Texas Southern_2017,35,23,12,.657,-6.41,-7.81,,16,2,,10,0,,11,11,,2593,2544,,1410,866,2017,.429,205,695,.295,656,892,.735,401,1228,411,251,110,407,607
347,Troy_2017,37,22,15,.595,-0.47,-3.36,,10,8,,10,4,,6,10,,2889,2667,,1485,982,2153,.456,311,867,.359,614,847,.725,409,1362,484,221,129,462,654
350,UCLA_2017,36,31,5,.861,20.67,6.39,,15,3,,16,1,,8,2,,3233,2719,,1440,1210,2320,.522,354,872,.406,459,622,.738,343,1386,771,212,191,404,583
357,Vanderbilt_2017,35,19,16,.543,13.69,10.72,,10,8,,11,5,,5,6,,2489,2385,,1405,815,1896,.430,346,921,.376,513,660,.777,286,1208,450,147,133,430,581
358,Vermont_2017,35,29,6,.829,6.67,-3.27,,16,0,,16,1,,11,3,,2571,2174,,1400,943,1909,.494,229,621,.369,456,651,.700,326,1192,476,199,151,392,555
359,Villanova_2017,36,32,4,.889,23.80,9.28,,15,3,,14,1,,9,2,,2779,2256,,1440,965,1948,.495,311,843,.369,538,681,.790,316,1208,505,259,109,402,515
360,Virginia Commonwealth_2017,35,26,9,.743,11.57,3.77,,14,4,,15,1,,7,4,,2616,2343,,1420,945,2050,.461,199,602,.331,527,747,.705,386,1275,525,263,138,435,728
362,Virginia Tech_2017,33,22,11,.667,12.77,8.38,,10,8,,15,2,,4,6,,2610,2465,,1330,887,1813,.489,290,720,.403,546,741,.737,240,1068,497,131,91,398,543
363,Virginia_2017,34,23,11,.676,20.63,10.93,,11,7,,12,4,,7,5,,2246,1916,,1380,839,1823,.460,232,602,.385,336,474,.709,297,1119,473,190,138,324,556
365,Wake Forest_2017,33,19,14,.576,14.19,9.80,,9,9,,11,3,,5,8,,2733,2588,,1320,923,1955,.472,268,697,.385,619,795,.779,349,1199,512,183,121,389,668
369,West Virginia_2017,37,28,9,.757,24.45,9.67,,12,6,,16,2,,6,4,,3014,2467,,1505,1059,2333,.454,275,759,.362,621,907,.685,534,1387,607,371,176,455,756
376,Wichita State_2017,36,31,5,.861,21.24,2.96,,17,1,,16,1,,9,1,,2916,2246,,1440,992,2114,.469,310,769,.403,622,848,.733,434,1472,586,235,140,406,676
378,Winthrop_2017,33,26,7,.788,1.34,-6.12,,15,3,,13,3,,12,3,,2615,2322,,1350,891,1957,.455,313,839,.373,520,725,.717,316,1224,423,216,169,430,605
379,Wisconsin_2017,37,27,10,.730,19.40,9.40,,12,6,,15,2,,5,5,,2678,2308,,1500,971,2135,.455,283,788,.359,453,703,.644,460,1377,504,250,130,411,602
383,Xavier_2017,38,24,14,.632,14.80,11.51,,9,9,,12,4,,4,8,,2836,2711,,1525,981,2148,.457,267,775,.345,607,882,.688,451,1416,560,228,100,478,711
7,Alabama_2018,36,20,16,.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,1440,910,1975,.461,229,702,.326,555,828,.670,360,1290,458,228,192,513,676
12,Arizona State_2018,32,20,12,.625,14.37,6.56,,8,10,,13,4,,4,6,,2645,2395,,1290,888,1920,.463,288,793,.363,581,793,.733,315,1126,458,209,114,343,604
13,Arizona_2018,35,27,8,.771,15.67,6.84,,14,4,,15,1,,8,3,,2818,2509,,1420,1009,2003,.504,237,642,.369,563,741,.760,353,1277,531,173,158,426,603
17,Arkansas_2018,35,23,12,.657,14.76,9.85,,10,8,,15,2,,3,7,,2819,2647,,1415,1005,2119,.474,269,681,.395,540,793,.681,351,1208,501,218,163,381,700
19,Auburn_2018,34,26,8,.765,15.97,7.29,,13,5,,15,1,,7,4,,2783,2488,,1360,906,2102,.431,324,908,.357,647,836,.774,407,1290,481,252,180,411,672
36,Bucknell_2018,35,25,10,.714,4.48,-3.46,,16,2,,15,1,,10,8,,2837,2559,,1420,965,2050,.471,280,804,.348,627,872,.719,325,1281,505,194,152,437,655
37,Buffalo_2018,36,27,9,.750,7.99,0.25,,15,3,,14,1,,8,5,,3047,2742,,1455,1105,2334,.473,351,948,.370,486,695,.699,430,1388,597,225,146,446,755
38,Butler_2018,35,21,14,.600,16.92,10.55,,9,9,,14,3,,3,7,,2763,2540,,1430,1020,2155,.473,287,805,.357,436,562,.776,324,1198,489,232,100,391,642
41,Cal State Fullerton_2018,32,20,12,.625,-0.92,-1.02,,10,6,,9,4,,7,7,,2318,2245,,1290,804,1721,.467,167,500,.334,543,745,.729,280,1123,403,201,106,455,578
60,Cincinnati_2018,36,31,5,.861,20.25,3.53,,16,2,,15,1,,9,2,,2673,2071,,1440,944,2100,.450,262,742,.353,523,756,.692,479,1413,570,256,194,404,561
62,Clemson_2018,35,25,10,.714,17.17,9.25,,11,7,,15,1,,4,6,,2584,2307,,1410,899,1971,.456,288,786,.366,498,660,.755,313,1256,463,198,169,414,564
68,College of Charleston_2018,34,26,8,.765,1.83,-3.29,,14,4,,14,0,,7,6,,2536,2331,,1385,875,1905,.459,259,720,.360,527,699,.754,286,1129,387,177,119,339,563
75,Creighton_2018,33,21,12,.636,16.35,8.10,,10,8,,16,2,,4,7,,2756,2444,,1330,1008,2050,.492,343,923,.372,397,531,.748,249,1206,588,187,88,371,501
77,Davidson_2018,33,21,12,.636,11.02,2.57,,13,5,,11,1,,6,8,,2519,2240,,1335,899,1874,.480,353,907,.389,368,461,.798,229,1078,551,155,65,315,503
86,Duke_2018,37,29,8,.784,24.44,9.71,,13,5,,15,1,,6,5,,3121,2576,,1490,1125,2288,.492,309,831,.372,562,791,.710,496,1519,648,275,185,460,574
104,Florida State_2018,35,23,12,.657,15.79,8.50,,9,9,,13,2,,4,7,,2806,2551,,1420,994,2125,.468,273,781,.350,543,786,.691,398,1322,523,241,186,456,652
105,Florida_2018,34,21,13,.618,16.67,10.08,,11,7,,12,5,,5,4,,2577,2353,,1375,893,2065,.432,308,832,.370,483,673,.718,367,1198,445,237,164,335,591
116,Georgia State_2018,35,24,11,.686,3.23,-2.78,,12,6,,11,3,,9,6,,2614,2356,,1415,937,2033,.461,323,839,.385,417,615,.678,309,1182,455,256,160,395,639
119,Gonzaga_2018,37,32,5,.865,18.43,2.59,,17,1,,15,1,,10,1,,3091,2505,,1500,1125,2261,.498,328,891,.368,513,725,.708,413,1477,564,234,134,420,631
133,Houston_2018,35,27,8,.771,15.99,4.16,,14,4,,15,0,,6,5,,2685,2271,,1400,952,2066,.461,297,768,.387,484,674,.718,408,1352,505,218,106,418,737
143,Iona_2018,34,20,14,.588,0.76,-2.19,,11,7,,8,3,,7,8,,2702,2602,,1385,957,2076,.461,324,846,.383,462,626,.738,291,1146,542,229,103,395,587
152,Kansas State_2018,37,25,12,.676,12.84,8.74,,10,8,,14,3,,6,5,,2630,2478,,1485,937,2025,.463,254,745,.341,502,684,.734,304,1136,510,294,110,423,684
155,Kansas_2018,39,31,8,.795,21.39,11.87,,13,5,,14,3,,8,3,,3174,2803,,1565,1165,2366,.492,391,974,.401,453,640,.708,381,1388,649,254,160,456,597
158,Kentucky_2018,37,26,11,.703,17.24,10.73,,10,8,,16,2,,4,6,,2840,2599,,1485,998,2115,.472,195,546,.357,649,930,.698,441,1431,489,208,176,480,702
164,Lipscomb_2018,33,23,10,.697,-2.10,-3.80,,10,4,,13,2,,10,7,,2708,2564,,1340,924,2040,.453,267,813,.328,593,826,.718,346,1276,517,216,102,493,656
166,Long Island University_2018,35,18,17,.514,-8.61,-8.19,,10,8,,12,4,,5,11,,2696,2674,,1405,935,2055,.455,279,815,.342,547,786,.696,370,1327,442,194,111,496,687
173,Loyola (IL)_2018,38,32,6,.842,10.38,1.81,,15,3,,14,1,,9,4,,2721,2377,,1520,995,1963,.507,277,700,.396,454,626,.725,238,1222,594,241,90,472,528
182,Marshall_2018,36,25,11,.694,4.21,0.44,,12,6,,15,2,,6,8,,3017,2849,,1455,1042,2232,.467,362,1012,.358,571,747,.764,293,1287,615,252,209,476,617
183,Maryland-Baltimore County_2018,36,25,11,.694,-2.02,-3.84,,12,4,,15,2,,9,7,,2630,2466,,1440,926,2088,.443,364,940,.387,414,641,.646,348,1245,547,269,87,440,592
191,Miami (FL)_2018,32,22,10,.688,12.83,6.96,,11,7,,11,3,,8,4,,2361,2173,,1290,875,1881,.465,247,678,.364,362,547,.662,318,1113,424,210,130,367,518
193,Michigan State_2018,35,30,5,.857,22.41,7.10,,16,2,,16,1,,8,1,,2807,2271,,1405,991,1996,.496,290,725,.400,535,716,.747,405,1439,670,143,251,459,640
194,Michigan_2018,41,33,8,.805,19.03,9.41,,13,5,,15,1,,6,5,,3019,2596,,1655,1092,2335,.468,361,1011,.357,474,717,.661,345,1367,585,261,126,379,643
205,Missouri_2018,33,20,13,.606,13.81,9.19,,10,8,,13,3,,5,6,,2399,2246,,1330,794,1765,.450,306,799,.383,505,688,.734,333,1225,443,170,140,469,594
208,Montana_2018,34,26,8,.765,6.28,-2.25,,16,2,,14,0,,8,6,,2625,2329,,1380,944,2021,.467,186,549,.339,551,780,.706,402,1258,428,264,114,422,716
212,Murray State_2018,32,26,6,.813,6.87,-3.53,,16,2,,14,2,,10,3,,2515,2117,,1280,870,1803,.483,271,719,.377,504,687,.734,341,1186,471,216,104,384,559
217,Nevada_2018,37,29,8,.784,14.44,4.93,,15,3,,14,1,,11,3,,3055,2703,,1500,1049,2238,.469,354,904,.392,603,812,.743,342,1316,598,230,150,357,630
221,New Mexico State_2018,34,28,6,.824,9.06,-1.10,,12,2,,14,1,,8,3,,2572,2183,,1365,963,2104,.458,258,773,.334,388,603,.643,427,1402,481,189,103,429,604
230,North Carolina Central_2018,35,19,16,.543,-13.19,-12.31,,9,7,,12,2,,3,13,,2520,2425,,1405,949,2060,.461,212,640,.331,410,597,.687,415,1336,545,179,117,495,650
231,North Carolina-Greensboro_2018,35,27,8,.771,4.54,-3.87,,15,3,,16,1,,8,6,,2562,2189,,1430,924,2075,.445,331,938,.353,383,549,.698,418,1307,487,267,132,481,650
232,North Carolina State_2018,33,21,12,.636,12.91,6.70,,11,7,,16,3,,4,5,,2682,2477,,1325,965,2054,.470,263,707,.372,489,703,.696,401,1176,531,244,122,400,609
234,North Carolina_2018,37,26,11,.703,20.08,11.78,,11,7,,12,3,,6,5,,3018,2711,,1485,1105,2417,.457,305,849,.359,503,677,.743,511,1570,674,213,151,445,587
251,Ohio State_2018,34,25,9,.735,17.67,9.03,,15,3,,16,2,,6,2,,2591,2297,,1375,951,1980,.480,239,678,.353,450,616,.731,334,1245,499,209,132,399,595
254,Oklahoma_2018,32,18,14,.563,13.81,10.56,,8,10,,13,2,,2,9,,2718,2614,,1295,954,2063,.462,300,836,.359,510,684,.746,339,1229,479,208,151,428,551
261,Pennsylvania_2018,33,24,9,.727,2.24,-3.17,,12,2,,11,3,,9,4,,2506,2274,,1355,893,1948,.458,291,831,.350,429,651,.659,283,1239,508,194,92,391,566
271,Providence_2018,35,21,14,.600,11.12,10.23,,10,8,,13,4,,4,7,,2575,2544,,1425,899,2037,.441,223,671,.332,554,787,.704,369,1247,485,238,128,430,624
272,Purdue_2018,37,30,7,.811,23.41,8.74,,15,3,,16,1,,8,2,,2974,2431,,1485,1033,2097,.493,353,840,.420,555,747,.743,319,1295,598,211,180,399,580
274,Radford_2018,36,23,13,.639,-2.61,-4.08,,12,6,,12,2,,7,10,,2422,2336,,1465,850,2000,.425,277,793,.349,445,614,.725,415,1244,442,226,105,441,596
275,Rhode Island_2018,34,26,8,.765,11.81,4.61,,15,3,,15,1,,7,4,,2583,2338,,1370,954,2096,.455,236,670,.352,439,630,.697,389,1170,520,249,118,362,645
292,San Diego State_2018,33,22,11,.667,12.23,3.91,,11,7,,13,2,,5,7,,2545,2240,,1320,902,1967,.459,239,709,.337,502,702,.715,366,1250,488,206,107,394,564
299,Seton Hall_2018,34,22,12,.647,15.67,10.11,,10,8,,14,3,,5,6,,2701,2512,,1370,971,2073,.468,250,685,.365,509,729,.698,416,1302,527,210,117,432,614
305,South Dakota State_2018,35,28,7,.800,6.84,-0.38,,13,1,,15,0,,8,5,,2958,2599,,1415,1003,2147,.467,374,927,.403,578,759,.762,310,1360,467,172,80,353,562
319,St. Bonaventure_2018,34,26,8,.765,8.87,2.61,,14,4,,13,1,,9,4,,2620,2407,,1380,884,1959,.451,255,661,.386,597,794,.752,344,1208,472,239,118,391,674
323,Stephen F. Austin_2018,35,28,7,.800,2.67,-6.46,,14,4,,16,1,,9,5,,2819,2386,,1400,1000,2059,.486,242,651,.372,577,819,.705,402,1248,498,361,107,540,765
326,Syracuse_2018,37,23,14,.622,12.89,10.02,,8,10,,14,5,,4,6,,2466,2360,,1500,832,1995,.417,208,655,.318,594,807,.736,442,1375,395,258,198,460,611
333,Tennessee_2018,35,26,9,.743,18.20,10.12,,13,5,,13,2,,8,4,,2584,2301,,1410,885,2012,.440,273,718,.380,541,715,.757,404,1262,550,222,156,422,680
335,Texas A&M_2018,35,22,13,.629,15.30,10.62,,9,9,,13,3,,4,7,,2631,2467,,1400,976,2121,.460,230,700,.329,449,679,.661,432,1450,538,190,209,476,574
337,Texas Christian_2018,33,21,12,.636,16.38,9.68,,9,9,,15,3,,3,7,,2708,2487,,1345,979,1973,.496,274,694,.395,476,674,.706,368,1201,615,214,119,419,553
341,Texas Southern_2018,36,16,20,.444,-7.53,-5.53,,12,6,,8,2,,5,17,,2787,2859,,1450,925,2111,.438,280,781,.359,657,906,.725,372,1301,438,207,145,453,631
343,Texas Tech_2018,37,27,10,.730,19.38,9.60,,11,7,,17,1,,4,6,,2759,2397,,1490,964,2096,.460,252,702,.359,579,823,.704,407,1332,529,262,158,454,669
344,Texas_2018,34,19,15,.559,13.96,10.67,,8,10,,13,4,,3,7,,2450,2338,,1410,882,2010,.439,245,766,.320,441,663,.665,361,1217,394,209,168,399,547
350,UCLA_2018,33,21,12,.636,12.07,6.86,,11,7,,14,2,,3,7,,2679,2507,,1350,927,2014,.460,310,813,.381,515,715,.720,337,1283,495,184,131,399,592
359,Villanova_2018,40,36,4,.900,26.64,10.24,,14,4,,12,1,,9,3,,3463,2807,,1615,1220,2440,.500,464,1158,.401,559,718,.779,385,1436,655,259,162,426,645
362,Virginia Tech_2018,33,21,12,.636,14.35,6.72,,10,8,,14,4,,6,5,,2634,2382,,1335,931,1865,.499,289,745,.388,483,681,.709,246,1078,542,191,74,395,523
363,Virginia_2018,34,31,3,.912,22.21,9.07,,17,1,,16,1,,10,1,,2283,1836,,1365,848,1844,.460,247,645,.383,340,451,.754,282,1099,458,232,124,290,480
369,West Virginia_2018,37,26,11,.703,19.88,9.36,,11,7,,14,3,,5,5,,2964,2575,,1485,1036,2374,.436,322,911,.353,570,744,.766,521,1401,561,301,192,420,798
376,Wichita State_2018,33,25,8,.758,16.58,5.46,,14,4,,13,3,,9,2,,2731,2364,,1330,957,2009,.476,300,787,.381,517,700,.739,405,1336,610,154,127,385,580
381,Wright State_2018,35,25,10,.714,0.58,-3.64,,14,4,,14,2,,8,7,,2500,2307,,1410,873,2019,.432,237,703,.337,517,723,.715,356,1266,460,231,77,459,558
383,Xavier_2018,35,29,6,.829,19.08,9.45,,15,3,,17,1,,9,2,,2953,2616,,1415,1011,2055,.492,274,736,.372,657,843,.779,345,1342,579,205,109,441,602
1,Abilene Christian_2019,34,27,7,.794,-1.91,-7.34,,14,4,,13,2,,10,4,,2502,2161,,1370,897,1911,.469,251,660,.380,457,642,.712,325,1110,525,297,93,407,635
12,Arizona State_2019,34,23,11,.676,10.28,6.04,,12,6,,13,3,,6,5,,2638,2494,,1380,899,2012,.447,240,714,.336,600,882,.680,399,1351,459,213,109,466,675
19,Auburn_2019,40,30,10,.750,20.84,10.92,,11,7,,15,2,,4,6,,3188,2750,,1615,1097,2439,.450,454,1204,.377,540,760,.711,457,1369,572,369,190,466,731
24,Baylor_2019,34,20,14,.588,13.38,9.26,,10,8,,13,5,,5,6,,2442,2302,,1365,869,1966,.442,274,803,.341,430,635,.677,450,1281,473,209,159,446,636
25,Belmont_2019,33,27,6,.818,9.12,-2.60,,16,2,,13,1,,12,3,,2868,2439,,1330,1042,2094,.498,343,922,.372,441,598,.737,286,1275,645,220,125,376,509
32,Bradley_2019,35,20,15,.571,-0.08,-0.90,,9,9,,10,6,,5,8,,2329,2285,,1405,812,1874,.433,240,653,.368,465,672,.692,313,1195,423,186,132,440,617
37,Buffalo_2019,36,32,4,.889,15.56,2.62,,16,2,,14,0,,12,3,,3037,2550,,1445,1083,2344,.462,344,1022,.337,527,767,.687,452,1470,599,263,140,433,659
47,UC-Irvine_2019,37,31,6,.838,5.70,-2.30,,15,1,,12,2,,13,2,,2675,2353,,1500,987,2159,.457,252,701,.359,449,640,.702,429,1471,479,210,153,441,673
55,Central Florida_2019,33,24,9,.727,13.37,5.58,,13,5,,15,2,,5,5,,2385,2128,,1325,819,1763,.465,229,628,.365,518,798,.649,315,1215,439,189,150,393,554
61,Cincinnati_2019,35,28,7,.800,14.53,5.50,,14,4,,16,2,,7,4,,2510,2194,,1410,872,2018,.432,232,673,.345,534,758,.704,442,1264,466,214,155,365,563
68,Colgate_2019,35,24,11,.686,1.23,-3.83,,13,5,,15,1,,9,9,,2648,2458,,1415,955,1995,.479,320,815,.393,418,563,.742,322,1240,541,213,121,456,547
89,Duke_2019,38,32,6,.842,26.90,11.98,,14,4,,15,2,,7,2,,3143,2576,,1525,1157,2418,.478,278,903,.308,551,803,.686,495,1567,606,346,257,488,595
100,Fairleigh Dickinson_2019,35,21,14,.600,-6.09,-7.24,,12,6,,13,4,,7,9,,2620,2515,,1420,921,1939,.475,269,672,.400,509,702,.725,323,1155,486,261,132,477,578
105,Florida State_2019,37,29,8,.784,17.99,10.26,,13,5,,15,1,,6,4,,2771,2485,,1500,960,2171,.442,272,819,.332,579,778,.744,418,1391,475,266,161,492,705
106,Florida_2019,36,20,16,.556,15.42,11.22,,9,9,,9,6,,5,6,,2440,2289,,1455,857,2015,.425,291,872,.334,435,603,.721,375,1201,437,257,131,420,614
112,Gardner-Webb_2019,35,23,12,.657,-2.61,-4.43,,11,6,,13,0,,8,9,,2718,2468,,1430,955,1962,.487,281,719,.391,527,741,.711,271,1190,502,238,101,407,561
117,Georgia State_2019,34,24,10,.706,2.44,0.65,,13,5,,13,1,,7,7,,2598,2491,,1360,903,1968,.459,330,859,.384,462,694,.666,273,1110,415,269,158,391,583
120,Gonzaga_2019,37,33,4,.892,27.79,5.01,,16,0,,17,0,,9,1,,3243,2400,,1480,1177,2239,.526,287,790,.363,602,791,.761,354,1443,668,278,204,394,603
134,Houston_2019,37,33,4,.892,18.91,4.61,,16,2,,19,1,,10,1,,2787,2258,,1480,982,2203,.446,333,939,.355,490,697,.703,448,1502,548,240,161,410,705
144,Iona_2019,33,17,16,.515,-4.78,-5.50,,12,6,,8,3,,5,9,,2532,2508,,1320,857,1897,.452,297,845,.351,521,699,.745,283,1152,432,223,90,406,564
145,Iowa State_2019,35,23,12,.657,18.07,9.30,,9,9,,12,4,,5,6,,2692,2385,,1400,974,2047,.476,294,811,.363,450,615,.732,327,1230,527,247,160,379,517
146,Iowa_2019,35,23,12,.657,14.27,9.84,,10,10,,14,4,,4,6,,2740,2585,,1415,914,2006,.456,285,782,.364,627,849,.739,357,1246,542,211,112,427,565
155,Kansas State_2019,34,25,9,.735,15.39,9.18,,14,4,,13,2,,7,5,,2236,2025,,1360,806,1878,.429,241,721,.334,383,574,.667,325,1137,464,256,76,385,550
156,Kansas_2019,36,26,10,.722,18.35,12.79,,12,6,,16,0,,3,8,,2725,2525,,1455,989,2128,.465,260,743,.350,487,691,.705,374,1376,478,243,139,472,610
159,Kentucky_2019,37,30,7,.811,21.43,10.29,,15,3,,17,1,,8,2,,2806,2394,,1490,978,2050,.477,215,607,.354,635,859,.739,427,1428,501,220,176,466,600
164,Liberty_2019,36,29,7,.806,5.27,-3.88,,14,2,,16,1,,11,3,,2654,2209,,1440,963,1977,.487,322,873,.369,406,524,.775,270,1174,532,223,96,395,543
171,Louisiana State_2019,35,28,7,.800,16.50,9.16,,16,2,,15,2,,9,1,,2815,2558,,1435,988,2162,.457,236,740,.319,603,802,.752,460,1355,452,308,148,452,634
173,Louisville_2019,34,20,14,.588,17.28,11.04,,10,8,,14,4,,5,6,,2536,2324,,1380,854,1967,.434,294,860,.342,534,687,.777,345,1297,458,149,99,412,591
182,Marquette_2019,34,24,10,.706,14.78,6.96,,12,6,,16,3,,6,4,,2629,2363,,1375,893,1969,.454,319,822,.388,524,692,.757,331,1292,456,168,145,467,635
186,Maryland_2019,34,23,11,.676,16.01,10.09,,13,7,,15,3,,6,5,,2429,2228,,1360,858,1909,.449,247,707,.349,466,627,.743,378,1336,447,148,163,437,526
194,Michigan State_2019,39,32,7,.821,24.93,12.34,,16,4,,15,1,,8,4,,3025,2534,,1570,1071,2230,.480,319,844,.378,564,749,.753,414,1579,715,201,205,493,647
195,Michigan_2019,37,30,7,.811,21.82,10.55,,15,5,,17,1,,7,4,,2575,2158,,1480,941,2102,.448,287,839,.342,406,579,.701,299,1307,512,225,149,334,514
200,Minnesota_2019,36,22,14,.611,12.52,11.27,,9,11,,14,3,,2,9,,2543,2498,,1445,887,2039,.435,191,603,.317,578,848,.682,402,1314,523,175,140,418,578
201,Mississippi State_2019,34,23,11,.676,15.96,9.07,,10,8,,14,3,,5,5,,2628,2394,,1370,936,1982,.472,292,774,.377,464,647,.717,393,1215,481,274,172,451,586
203,Mississippi_2019,33,20,13,.606,12.32,8.13,,10,8,,11,5,,6,5,,2485,2347,,1325,876,1906,.460,272,760,.358,461,589,.783,322,1128,475,235,118,416,603
209,Montana_2019,35,26,9,.743,1.50,-5.05,,16,4,,12,2,,9,5,,2665,2397,,1405,975,1983,.492,287,763,.376,428,621,.689,293,1176,510,229,106,416,655
213,Murray State_2019,33,28,5,.848,8.96,-3.11,,16,2,,15,1,,10,3,,2727,2255,,1320,988,2007,.492,258,731,.353,493,673,.733,351,1247,591,249,149,401,527
218,Nevada_2019,34,29,5,.853,16.00,2.68,,15,3,,15,0,,9,3,,2723,2270,,1360,924,1999,.462,297,855,.347,578,816,.708,325,1274,498,211,134,352,584
222,New Mexico State_2019,35,30,5,.857,10.05,-2.38,,15,1,,16,1,,10,1,,2734,2259,,1405,962,2092,.460,326,977,.334,484,714,.678,445,1343,514,197,91,419,632
232,North Carolina Central_2019,34,18,16,.529,-11.53,-11.24,,10,6,,10,2,,4,12,,2429,2266,,1365,874,1922,.455,221,693,.319,460,641,.718,399,1265,526,207,93,515,610
236,North Carolina_2019,36,29,7,.806,23.94,11.35,,16,2,,14,2,,11,1,,3089,2636,,1445,1118,2410,.464,312,862,.362,541,728,.743,477,1589,678,252,120,473,611
237,North Dakota State_2019,35,19,16,.543,-4.01,-2.07,,9,7,,10,3,,4,9,,2556,2541,,1410,874,1926,.454,332,910,.365,476,613,.777,229,1105,402,160,87,368,523
243,Northeastern_2019,34,23,11,.676,3.95,-0.70,,14,4,,11,2,,8,6,,2564,2406,,1385,880,1848,.476,328,858,.382,476,634,.751,237,1075,480,211,74,381,539
248,Northern Kentucky_2019,35,26,9,.743,4.67,-2.39,,13,5,,17,1,,7,7,,2747,2410,,1410,979,2047,.478,306,844,.363,483,725,.666,364,1298,592,218,139,441,664
253,Ohio State_2019,35,20,15,.571,13.89,11.00,,8,12,,12,6,,4,7,,2419,2318,,1405,839,1931,.434,264,774,.341,477,650,.734,328,1215,494,206,85,438,623
256,Oklahoma_2019,34,20,14,.588,15.30,12.21,,7,11,,11,4,,5,7,,2423,2318,,1365,883,1975,.447,226,654,.346,431,618,.697,305,1263,430,203,102,401,527
